2
7
 400 440 480 520 560 600 640
10
   6  467  334
   5  169  224
   5  358  462
   6  205  145
   6  327  461
   1  495  442
   4  436  391
   2  402  153
   5  382  421
   5  218  395
   1  226  271
   2  369  412
   5  299   35
   3  203  311
   4  333  173
   2  141  211
   1  368   47
   1  162  257
   3  359  223
   4   29  278
   3   35  190
   1  288  106
   3  442  264
   3  446  305
   0  229  370
   6    6  101
   5   48  129
   2   84  454
   3  340  466
   5  431  308
   4  439  126
   4   37   38
   4   82  429
   0  333  115
   5  158  204
   4  477  306
   5  386   21
   3  424   72
   5  329  277
   5   97   12
   4  290  161
   2  355  267
   2   74   31
   5  350  150
   1  224  466
   0  107  191
   3  337  457
   2  253  383
   0  409  209
   0  221   88
   3  446    6
   3  413  168
   4   91  262
   3  410  359
   2   37   48
   1   95   41
   4  350  291
   1  374   20
   4   21  348
   1  168  484
   0  234   53
   4  418  438
   5  288  127
   5  228  393
   1  483  307
   6  310  117
   0   14  309
   0  435  451
   6  249   19
   0  298  303
   1    8  344
   3  489  202
   3  485   93
   0   23   87
   5    3  448
   0  458  118
   0  296  298
   0   89  298
   2  157  472
   4   38  292
   4  179  190
   5  458  191
   5  388  156
   3  202  134
   3   55  328
   1  362  386
   3  433  369
   3  344  416
   6  498  322
   3   21  199
   1  476  392
   1   75  212
   3   10    3
   3  361  188
   3  289  255
   1    2   85
   4  285   88
   3  117  257
   4  432  169
   5  221  189
   5  329  368
   6  425   55
   4   49  441
   6  145   60
   4  253  139
   5  279  496
   6   29   49
   0  366  449
   4  195  297
   4  286  105
   2  282  455
   2  114  201
   5  171  286
   6  313  355
   0   53  412
   0  332  445
   1  256  321
   0  146  482
   5  144  196
   6  129  161
   5  450  173
   1   44  159
   0  439  253
   4  154   10
   6  149  186
   4  474   22
   5   18  287
   0  458  391
   3  125  477
   4  314  324
   4  374  372
   6  333   70
   4  297   18
   1  273  270
   6  168  192
   6  102  480
   2  127  302
   4   27  125
   3  424   23
   5   61  181
   0  432    5
   6  225   31
   1  142  222
   3   64  400
   0  360  413
   6  270  170
   4  333  211
   0  396  167
   5   50  140
   2  195  124
   5  125   76
   1  158  302
   4  466  178
   4  351  484
   3  464  119
   3  300   87
   1  426   10
   4  170  315
   0  227   43
   1  164  109
   0   86   65
   1   77  474
   0  127  129
   1  423   20
   0  462  123
   5  237  261
   3   25  264
   0  202  116
   4  326   11
   6  411   47
   6   20  290
   0  188  263
   5  351  162
   4  400  213
   2   78  365
   1  477  200
   4  439  303
   6  357  324
   2  108  113
   5  301  350
   5  428  493
   0  405   40
   3  204  335
   2   72  350
   0  485   56
   4  126  357
   0  357  337
   3  369  361
   2   22  117
   4  217  196
   0   41  423
   0  229   65
   0  432  296
   0   53  462
   0  234  154
   4  457  369
   6  463  107
   5  411  135
   1  348  175
   2  223  142
   3   11  241
   1  459  325
   1  370  126
   0  205  283
   1  398  279
   0  193  234
   6   34   56
   5  176  205
   4   48  381
   6  413  141
   3  355  142
   3  111  377
   5  178  252
   5  296  173
   2  313  375
   3  318  110
   2  432  112
   0  169  331
   6  488  185
   1  497   89
   6  145  353
   1  151  240
   1  258  335
   2  192  105
   1  181    3
   0  275  108
   4  497   49
   2   61  127
   6   41  129
   6  313  174
   0   77  215
   3  213  492
   1  101  392
   2  170  428
   6   84   75
   5  498  470
   1  347  104
   6  221  163
   1  363   10
   2  489  240
   5   42  119
   4   91  204
   3  232  250
   5  475   39
   2  422   98
   5   84  148
   3  364  413
   1   45  212
   4  178  269
   2   19  485
   2  444  365
   4  245    8
   3  370  101
   1  132  472
   6   87   70
   6  401  103
   3   27  100
   5   15   65
   0   43  347
   2  443  137
   2  463   49
   5   88  342
   6   60  221
   1  454  388
   6  190  449
   5  430  120
   6   67   36
   0   35  226
   2   38  353
   2  224  248
   1  359  257
   0  444  455
   1  226  411
   4  355    1
   2  496   84
   2  464  342
   4  413  142
   4  448   72
   0  106  173
   6  404  205
   4  312  375
   0   65   36
   1  141  314
   2  256  152
   3  338  482
   4   15  131
   2  341  125
   2  137  186
   6  150  162
   4  393  353
   3  452    8
   3  233  454
   0  134  303
   4  148  124
   4  213  109
   4  200   80
   3  358   50
   5  361  264
   3  176  143
   1  402   61
   6  448  282
   3  174  220
   5  423  331
   0  378  259
   3  119  471
   1  445  281
   2  392  185
   1  198   89
   3  438   37
   5  461  234
   6  461  459
   4   15  269
   3  369   58
   0  471  264
   4  215   55
   3  330   39
   0  288   82
   1   85  210
   5  274  380
   2  451   41
   6  179  110
   5   73  288
   2  132  456
   3  113    8
   5  290  223
   6   28  184
   5  200   71
   2  474   71
   0  367  153
   1  168  325
   2  129  150
   1  309  193
   3   80  116
   6  167   28
   2  364  421
   5  326  316
   5  226  166
   2  181  464
   3  186   21
   0  221   64
   0  415  402
   4  124  441
   6  262  423
   0  306  268
   1  102  407
   3  481   12
   3  130  114
   6   84   56
   5  293  496
   4   54  345
   1  248  491
   6  131  114
   3  458  222
   3  495   52
   6  479  238
   5  418  366
   5  498  486
   0  462  133
   6   22  146
   3   37  425
   0  458  102
   0   98  330
   4  100  278
   2  352  448
   1   40  315
   4  262   67
   6  397  418
   3  328  351
   6  230  449
   6  158  229
   6  440   60
   6  162  155
   4  292  361
   2  398  146
   6  446  188
   4  138  163
   4   15   21
   6  115   28
   4   70  405
   0   57  462
   0   24   49
   4  330  423
   0  333  425
   4  237  336
   4  278  393
   6  214  164
   0  449  135
   6  337    4
   6  123  164
   2  108   68
   3   85  152
   5  152  194
   6  326  396
   5  249  140
   5  319  443
   5  441  289
   5   65  305
   4  216  450
   5  109   64
   3  393   74
   6  300  195
   4   89  161
   1  468  358
   5  268  426
   6  422  274
   1  410   52
   3  391  495
   3  374  364
   6  255  460
   5  472  321
   5   47   77
   3  105  195
   0  450  343
   5  481   12
   3  439  428
   4  262  467
   6  415  408
   3  259  434
   3  486  319
   6  445  306
   4  200  367
   3  287   32
   1  474  447
   2  283  222
   1  376   83
   5  223  482
   3  276  220
   3  182  356
   2  425  324
   4  177  469
   2   34  177
   2   68  491
   3  283  328
   6  426  371
   1  112  203
   2  408   45
   2  185  238
   3  443  313
   3  350  128
   4  150  149
   6  454  369
   2  465  267
   3  293  134
   6  472  330
   2  442  177
   3  270  202
   0  381   90
   3  237   23
   0   95  169
   3   42  310
   0   58  426
   2  170   28
   2  258  213
   4  283  286
   5  110  472
   2  434  341
   5    3  367
   1  438  381
   3  250  114
   6  458  161
   2  256  307
   6  489  435
   2   75   86
   0  333  360
   2   48  428
   1  433  340
   4  235  310
   0  337  392
   6  328  352
   1  244  294
   0  252  147
   2   35  208
   2  497  243
   6   15  341
   0  100  312
   2   23  351
   2  133  391
   5  354  490
   0  419  280
   3  431   44
   1  487  399
   6  483   38
   2  193  252
   0   60  334
   6  497  285
   0   40  305
   0  392  210
   4   78  479
   3  277   73
   5  120  497
   1  276  290
   2   78  159
   6  489  159
   5  424   72
   6    8  467
   2  477    3
   5  107  196
   6  222  111
   0  261   56
   3  163  183
   3  432  452
   4  454  313
   6  396  460
   0  404   99
   4  180  198
   5  387   84
   2   17    6
   4  241  382
   0   23  258
   2  121   95
   2  416  178
   0   79   58
   4  250    7
   6   81  495
   4  176  253
   4  284   65
   6  108  172
   1  429   14
   4   55  191
   2  422  248
   2  486  144
   3   77   17
   6  416  374
   6  469  412
   5  193   91
   1  449  357
   4   52  236
   4  487  226
   1  455  183
   1  180   97
   6   65   13
   0   78   78
   1  140  111
   6  445  170
   1  489  250
   3  333  365
   3  282    7
   6  396  367
   4  382  310
   1  231  187
   6  479  321
   0  351  447
   2  146  276
   6  189  422
   2  486  455
   5  114  360
   0  277  348
   1  361  431
   4  455  197
   0  252  321
   6  281   21
   4  447  124
   6  135  376
   3  359  498
   6  253  422
   2  143  388
   5  232  247
   1  426  178
   3  301  461
   3  355  363
   4   73   61
   5  473  274
   3  353  181
   3  199  110
   2  465  172
   2  481  112
   1  381  247
   3  171  305
   4   32  489
   3  165  431
   5  293  206
   6  448  206
   4  166  396
   2   20  194
   3  288  109
   1  469  478
   1   15  126
   2  168  406
   0   97  118
   2  199  285
   3  199  420
   4  271  313
   3   85  318
   3  331  267
   1  444  186
   3  360  327
   4  431  152
   3  268  193
   5  337  311
   6  177  406
   5   22  413
   2   42   37
   1  388  355
   3  147  181
   3   84  487
   2  493  217
   2  482  447
   6  253  104
   6   95   25
   2  464  281
   0  106  156
   4   93   80
   1  368  411
   0  468  251
   0   79  268
   2   31  433
   0  163  259
   4  436   95
   5  374  220
   4  180  476
   3  225   71
   0   59  156
   2  332  405
   3  375   62
   2  462   80
   2  297  202
   1   80  340
   1   58  493
   5   46  474
   0   97  380
   4   72  400
   0  455  166
   4   88  481
   4  315  396
   6    9   12
   6  455  262
   4  242   21
   2   12  248
   6  368  217
   5  150  290
   3  259  169
   6  303  140
   6  199  105
   4  161  181
   5  253   33
   4  487   42
   3   83  420
   1  218  244
   4  229  152
   6  269  470
   4   47   94
   4  326  276
   1   40  179
   1   88  210
   4  445  221
   1  183   89
   1  478  279
   1  262  135
   2  196   33
   2  435  279
   5  290  462
   2    1  105
   5   67  169
   5  171  457
   6   45   97
   1  338  344
   1   63   28
   4  301  223
   1  104  101
   0  197  192
   3  363  301
   5  221   65
